question_text,subject,cognitive_level_bloom,readability_score,word_count,sentence_count,time_taken_minutes,total_students_attempted,correct_attempts,incorrect_attempts,correct_percentage,learning_gap_score,discrimination_index,difficulty_label,assessment_quality_score
Determine projectile motion range for scenario number 2416.,Physics,create,81.47,22,3,7,122,48,74,0.396,0.631,0.636,hard,0.51
Compute circuit resistance for scenario number 2417.,Physics,understand,50.26,45,3,5,263,213,50,0.813,0.224,0.534,easy,0.666
Determine stress on beam under scenario number 2418.,Engineering Aptitude,remember,52.83,42,2,7,207,185,22,0.897,0.124,0.975,easy,0.932
Explain database normalization of scenario number 2419.,Computer Science,understand,40.53,43,3,8,126,101,25,0.807,0.21,0.666,easy,0.733
Determine stress on beam under scenario number 2420.,Engineering Aptitude,apply,68.46,27,3,12,256,160,96,0.626,0.422,0.648,medium,0.627
Calculate efficiency of machine with scenario number 2421.,Engineering Aptitude,remember,42.47,18,2,14,130,110,20,0.851,0.185,0.937,easy,0.887
Determine stress on beam under scenario number 2422.,Engineering Aptitude,apply,69.24,37,3,17,215,30,185,0.142,0.904,0.964,hard,0.544
Determine stress on beam under scenario number 2423.,Engineering Aptitude,create,83.67,41,3,11,177,123,54,0.699,0.344,0.532,medium,0.607
Evaluate logical reasoning pattern in scenario number 2424.,Engineering Aptitude,remember,54.3,23,3,3,159,126,33,0.793,0.215,0.679,easy,0.734
Solve the quadratic equation scenario number 2425.,Mathematics,remember,52.86,23,3,11,215,121,94,0.566,0.468,0.762,medium,0.657
Compute circuit resistance for scenario number 2426.,Physics,apply,65.39,31,2,6,189,24,165,0.13,0.882,0.596,hard,0.361
Solve the quadratic equation scenario number 2427.,Mathematics,apply,69.6,33,1,16,179,95,84,0.535,0.511,0.78,medium,0.648
Evaluate logical reasoning pattern in scenario number 2428.,Engineering Aptitude,analyze,55.68,25,2,9,148,87,61,0.591,0.445,0.885,medium,0.731
Implement binary search for scenario number 2429.,Computer Science,evaluate,82.7,41,2,24,146,47,99,0.323,0.727,0.901,hard,0.602
Find derivative of function scenario number 2430.,Mathematics,apply,67.44,35,1,19,174,114,60,0.657,0.356,0.847,medium,0.75
Compute circuit resistance for scenario number 2431.,Physics,apply,61.0,48,3,9,140,71,69,0.508,0.533,0.981,medium,0.736
Determine stress on beam under scenario number 2432.,Engineering Aptitude,remember,54.03,28,1,19,156,119,37,0.768,0.252,0.986,easy,0.873
Describe inheritance in scenario number 2433.,Computer Science,understand,40.08,46,2,12,294,207,87,0.705,0.306,0.973,easy,0.837
Analyze time complexity of scenario number 2434.,Computer Science,apply,55.21,27,1,10,172,103,69,0.603,0.434,0.621,medium,0.605
Find derivative of function scenario number 2435.,Mathematics,analyze,62.56,31,2,3,130,52,78,0.402,0.615,0.804,medium,0.6
Explain database normalization of scenario number 2436.,Computer Science,analyze,69.28,48,3,4,173,120,53,0.699,0.302,0.546,medium,0.622
Explain database normalization of scenario number 2437.,Computer Science,evaluate,71.54,47,2,17,136,26,110,0.197,0.808,0.529,hard,0.362
Explain database normalization of scenario number 2438.,Computer Science,analyze,67.78,18,2,3,259,108,151,0.419,0.62,0.655,medium,0.529
Determine projectile motion range for scenario number 2439.,Physics,create,70.78,22,2,20,140,38,102,0.274,0.74,0.867,hard,0.568
Determine stress on beam under scenario number 2440.,Engineering Aptitude,evaluate,81.78,18,2,3,163,59,104,0.365,0.657,0.754,hard,0.555
Calculate efficiency of machine with scenario number 2441.,Engineering Aptitude,understand,46.24,21,1,10,252,217,35,0.862,0.179,0.786,easy,0.816
Apply Newton law to system scenario number 2442.,Physics,understand,40.42,16,3,16,234,174,60,0.746,0.286,0.621,easy,0.677
Apply Newton law to system scenario number 2443.,Physics,analyze,61.91,45,1,10,294,163,131,0.558,0.486,0.631,medium,0.586
Implement binary search for scenario number 2444.,Computer Science,create,73.45,27,3,6,165,110,55,0.669,0.377,0.969,medium,0.81
Calculate efficiency of machine with scenario number 2445.,Engineering Aptitude,analyze,69.4,42,2,5,232,102,130,0.441,0.598,0.928,medium,0.677
Evaluate matrix determinant for scenario number 2446.,Mathematics,apply,66.77,18,2,5,187,130,57,0.699,0.349,0.799,medium,0.739
Analyze flowchart representing scenario number 2447.,Engineering Aptitude,analyze,57.07,21,1,9,232,142,90,0.613,0.431,0.757,medium,0.676
Find derivative of function scenario number 2448.,Mathematics,remember,48.72,42,2,6,155,115,40,0.745,0.296,0.947,easy,0.838
Analyze time complexity of scenario number 2449.,Computer Science,understand,47.4,20,3,3,230,179,51,0.778,0.25,0.621,easy,0.694
Implement binary search for scenario number 2450.,Computer Science,understand,41.18,42,3,9,253,50,203,0.201,0.838,0.858,hard,0.522
Implement binary search for scenario number 2451.,Computer Science,evaluate,82.22,15,1,23,272,60,212,0.222,0.783,0.988,hard,0.604
Find derivative of function scenario number 2452.,Mathematics,analyze,57.08,19,1,10,261,107,154,0.413,0.601,0.933,medium,0.67
Find derivative of function scenario number 2453.,Mathematics,analyze,60.09,46,3,4,296,134,162,0.454,0.572,0.62,medium,0.532
Compute definite integral of scenario number 2454.,Mathematics,remember,53.99,15,1,4,200,175,25,0.878,0.168,0.709,easy,0.784
Analyze time complexity of scenario number 2455.,Computer Science,analyze,64.85,46,3,14,178,120,58,0.679,0.364,0.736,medium,0.699
Analyze time complexity of scenario number 2456.,Computer Science,apply,60.3,16,2,3,151,71,80,0.477,0.534,0.503,medium,0.488
Apply Newton law to system scenario number 2457.,Physics,remember,49.46,31,1,6,288,225,63,0.782,0.219,0.61,easy,0.696
Analyze flowchart representing scenario number 2458.,Engineering Aptitude,analyze,65.38,35,1,17,174,117,57,0.678,0.35,0.895,medium,0.781
Analyze time complexity of scenario number 2459.,Computer Science,apply,58.21,30,3,11,161,72,89,0.448,0.573,0.555,medium,0.497
Evaluate matrix determinant for scenario number 2460.,Mathematics,apply,61.7,33,3,13,235,120,115,0.513,0.49,0.567,medium,0.539
Calculate electric field for scenario number 2461.,Physics,remember,43.48,25,2,5,161,136,25,0.848,0.195,0.826,easy,0.828
Explain database normalization of scenario number 2462.,Computer Science,remember,40.66,16,3,19,261,229,32,0.878,0.163,0.74,easy,0.801
Evaluate matrix determinant for scenario number 2463.,Mathematics,remember,43.92,48,3,12,155,135,20,0.872,0.138,0.86,easy,0.864
Evaluate logical reasoning pattern in scenario number 2464.,Engineering Aptitude,understand,44.34,34,2,12,181,139,42,0.77,0.242,0.859,easy,0.812
Compute circuit resistance for scenario number 2465.,Physics,remember,47.35,39,3,16,258,223,35,0.867,0.179,0.786,easy,0.817
Find derivative of function scenario number 2466.,Mathematics,understand,51.3,22,3,16,296,211,85,0.714,0.302,0.737,easy,0.722
Analyze flowchart representing scenario number 2467.,Engineering Aptitude,apply,69.97,16,3,18,238,109,129,0.461,0.542,0.773,medium,0.617
Apply Newton law to system scenario number 2468.,Physics,apply,65.5,45,1,15,238,122,116,0.515,0.52,0.799,medium,0.65
Analyze flowchart representing scenario number 2469.,Engineering Aptitude,create,71.06,16,2,24,187,35,152,0.192,0.832,0.959,hard,0.571
Implement binary search for scenario number 2470.,Computer Science,apply,61.29,34,1,8,155,75,80,0.487,0.538,0.802,medium,0.64
Compute definite integral of scenario number 2471.,Mathematics,evaluate,79.01,40,1,9,236,94,142,0.399,0.623,0.712,hard,0.551
Compute circuit resistance for scenario number 2472.,Physics,analyze,60.4,48,1,4,241,160,81,0.668,0.359,0.742,medium,0.7
Analyze flowchart representing scenario number 2473.,Engineering Aptitude,apply,65.34,30,2,22,276,168,108,0.61,0.411,0.696,medium,0.649
Calculate efficiency of machine with scenario number 2474.,Engineering Aptitude,analyze,69.86,36,3,5,109,72,37,0.661,0.363,0.986,medium,0.819
Implement binary search for scenario number 2475.,Computer Science,analyze,56.13,46,2,8,107,18,89,0.172,0.856,0.502,hard,0.331
Calculate efficiency of machine with scenario number 2476.,Engineering Aptitude,remember,44.69,29,2,10,236,165,71,0.701,0.302,0.656,easy,0.678
Describe inheritance in scenario number 2477.,Computer Science,create,74.45,47,1,9,115,43,72,0.377,0.628,0.752,hard,0.563
Calculate electric field for scenario number 2478.,Physics,analyze,61.84,45,3,6,224,153,71,0.683,0.325,0.986,medium,0.833
Compute definite integral of scenario number 2479.,Mathematics,analyze,69.18,26,3,15,162,77,85,0.48,0.527,0.789,medium,0.633
Calculate efficiency of machine with scenario number 2480.,Engineering Aptitude,analyze,59.6,19,2,16,211,113,98,0.539,0.465,0.777,medium,0.657
Implement binary search for scenario number 2481.,Computer Science,understand,44.93,32,3,15,223,160,63,0.721,0.28,0.912,easy,0.816
Implement binary search for scenario number 2482.,Computer Science,evaluate,88.32,46,1,8,274,54,220,0.199,0.85,0.586,hard,0.383
Evaluate logical reasoning pattern in scenario number 2483.,Engineering Aptitude,evaluate,74.83,45,1,11,185,50,135,0.273,0.742,0.711,hard,0.489
Solve the quadratic equation scenario number 2484.,Mathematics,remember,47.3,23,3,19,288,224,64,0.78,0.224,0.763,easy,0.771
Evaluate matrix determinant for scenario number 2485.,Mathematics,analyze,67.59,48,3,12,200,130,70,0.654,0.35,0.992,medium,0.822
Evaluate matrix determinant for scenario number 2486.,Mathematics,create,77.17,46,1,16,116,18,98,0.164,0.862,0.824,hard,0.489
Explain database normalization of scenario number 2487.,Computer Science,apply,59.73,35,3,13,250,127,123,0.511,0.508,0.55,medium,0.527
Solve the quadratic equation scenario number 2488.,Mathematics,remember,51.43,38,3,16,256,187,69,0.733,0.309,0.621,easy,0.669
Determine stress on beam under scenario number 2489.,Engineering Aptitude,understand,48.84,49,1,11,131,106,25,0.814,0.196,0.845,easy,0.828
Calculate efficiency of machine with scenario number 2490.,Engineering Aptitude,remember,42.8,30,3,9,130,94,36,0.723,0.302,0.749,easy,0.731
Evaluate logical reasoning pattern in scenario number 2491.,Engineering Aptitude,apply,55.91,17,1,5,168,77,91,0.461,0.582,0.671,medium,0.557
Analyze flowchart representing scenario number 2492.,Engineering Aptitude,evaluate,88.93,31,3,11,216,71,145,0.331,0.7,0.509,hard,0.414
Explain database normalization of scenario number 2493.,Computer Science,understand,49.13,19,1,20,272,206,66,0.759,0.269,0.658,easy,0.703
Calculate electric field for scenario number 2494.,Physics,remember,51.63,20,2,7,129,90,39,0.7,0.323,0.947,easy,0.819
Analyze time complexity of scenario number 2495.,Computer Science,analyze,65.21,28,3,4,152,69,83,0.456,0.57,0.617,medium,0.531
Solve the quadratic equation scenario number 2496.,Mathematics,analyze,67.81,25,1,16,246,101,145,0.415,0.6,0.7,medium,0.554
Solve the quadratic equation scenario number 2497.,Mathematics,understand,49.38,17,2,15,196,167,29,0.857,0.154,0.609,easy,0.731
Analyze flowchart representing scenario number 2498.,Engineering Aptitude,create,81.78,33,1,8,208,45,163,0.218,0.794,0.532,hard,0.373
Analyze flowchart representing scenario number 2499.,Engineering Aptitude,apply,62.95,31,1,13,104,67,37,0.653,0.395,0.858,medium,0.746
Describe inheritance in scenario number 2500.,Computer Science,apply,66.0,21,2,15,296,187,109,0.632,0.404,0.681,medium,0.649
Find derivative of function scenario number 2501.,Mathematics,understand,48.19,24,3,9,146,126,20,0.87,0.162,0.59,easy,0.723
Find derivative of function scenario number 2502.,Mathematics,remember,43.17,33,2,20,174,146,28,0.843,0.162,0.581,easy,0.711
Apply Newton law to system scenario number 2503.,Physics,understand,47.53,29,2,19,213,173,40,0.815,0.227,0.578,easy,0.688
Determine stress on beam under scenario number 2504.,Engineering Aptitude,create,70.3,19,2,14,220,34,186,0.156,0.85,0.752,hard,0.453
Compute circuit resistance for scenario number 2505.,Physics,create,75.43,15,3,13,149,47,102,0.322,0.718,0.982,hard,0.644
Apply Newton law to system scenario number 2506.,Physics,apply,60.93,26,3,24,294,204,90,0.695,0.31,0.63,medium,0.661
Determine stress on beam under scenario number 2507.,Engineering Aptitude,analyze,56.29,27,2,6,227,150,77,0.661,0.384,0.669,medium,0.656
Calculate efficiency of machine with scenario number 2508.,Engineering Aptitude,remember,45.32,37,2,21,192,157,35,0.819,0.229,0.631,easy,0.715
Calculate electric field for scenario number 2509.,Physics,create,88.18,41,1,17,294,94,200,0.321,0.719,0.624,hard,0.465
Analyze flowchart representing scenario number 2510.,Engineering Aptitude,analyze,65.74,41,2,21,262,169,93,0.647,0.375,0.768,medium,0.703
Evaluate matrix determinant for scenario number 2511.,Mathematics,evaluate,75.59,35,2,18,234,90,144,0.386,0.644,0.803,hard,0.588
Calculate electric field for scenario number 2512.,Physics,apply,56.92,26,1,15,219,152,67,0.696,0.313,0.846,medium,0.769
Calculate efficiency of machine with scenario number 2513.,Engineering Aptitude,apply,56.21,34,1,12,182,147,35,0.81,0.203,0.566,easy,0.686
Evaluate matrix determinant for scenario number 2514.,Mathematics,analyze,68.8,42,2,5,299,197,102,0.661,0.377,0.934,medium,0.79
Evaluate logical reasoning pattern in scenario number 2515.,Engineering Aptitude,remember,40.3,18,1,11,125,108,17,0.87,0.146,0.67,easy,0.767
Analyze flowchart representing scenario number 2516.,Engineering Aptitude,analyze,68.43,38,1,15,247,112,135,0.457,0.585,0.529,medium,0.485
Determine stress on beam under scenario number 2517.,Engineering Aptitude,create,70.13,41,3,16,239,27,212,0.114,0.936,0.872,hard,0.483
Solve the quadratic equation scenario number 2518.,Mathematics,analyze,67.57,36,1,19,297,129,168,0.435,0.601,0.615,medium,0.518
Analyze time complexity of scenario number 2519.,Computer Science,apply,61.22,28,3,11,203,37,166,0.185,0.825,0.513,hard,0.347
Analyze flowchart representing scenario number 2520.,Engineering Aptitude,remember,54.22,32,2,19,165,126,39,0.768,0.238,0.75,easy,0.758
Evaluate logical reasoning pattern in scenario number 2521.,Engineering Aptitude,analyze,55.4,36,2,4,224,115,109,0.516,0.488,0.906,medium,0.71
Calculate efficiency of machine with scenario number 2522.,Engineering Aptitude,understand,48.69,44,2,16,215,159,56,0.74,0.297,0.855,easy,0.79
Implement binary search for scenario number 2523.,Computer Science,analyze,59.34,36,3,11,268,131,137,0.491,0.541,0.87,medium,0.674
Describe inheritance in scenario number 2524.,Computer Science,understand,51.83,31,3,5,296,261,35,0.883,0.151,0.719,easy,0.794
Determine projectile motion range for scenario number 2525.,Physics,evaluate,81.47,42,2,16,283,57,226,0.202,0.834,0.786,hard,0.487
Determine stress on beam under scenario number 2526.,Engineering Aptitude,apply,56.61,25,2,24,246,120,126,0.489,0.546,0.517,medium,0.496
Analyze flowchart representing scenario number 2527.,Engineering Aptitude,create,74.07,27,3,24,196,76,120,0.39,0.65,0.666,hard,0.52
Describe inheritance in scenario number 2528.,Computer Science,understand,47.09,43,1,12,146,118,28,0.813,0.234,0.974,easy,0.884
Determine projectile motion range for scenario number 2529.,Physics,create,71.4,28,3,5,274,37,237,0.135,0.912,0.932,hard,0.524
Evaluate matrix determinant for scenario number 2530.,Mathematics,understand,40.33,37,2,22,125,102,23,0.821,0.213,0.942,easy,0.875
Calculate electric field for scenario number 2531.,Physics,understand,51.51,44,2,9,126,95,31,0.76,0.246,0.866,easy,0.812
Calculate efficiency of machine with scenario number 2532.,Engineering Aptitude,analyze,69.68,29,3,9,123,84,39,0.685,0.34,0.705,medium,0.69
Evaluate logical reasoning pattern in scenario number 2533.,Engineering Aptitude,understand,53.62,19,3,6,200,162,38,0.812,0.215,0.808,easy,0.805
Apply Newton law to system scenario number 2534.,Physics,remember,54.13,33,3,11,237,181,56,0.767,0.258,0.953,easy,0.855
Explain database normalization of scenario number 2535.,Computer Science,apply,62.81,19,3,9,282,187,95,0.663,0.387,0.925,medium,0.784
Calculate electric field for scenario number 2536.,Physics,evaluate,83.14,28,2,12,260,95,165,0.368,0.664,0.622,hard,0.489
Solve the quadratic equation scenario number 2537.,Mathematics,apply,60.8,25,1,14,238,165,73,0.694,0.324,0.848,medium,0.767
Calculate efficiency of machine with scenario number 2538.,Engineering Aptitude,evaluate,84.25,44,3,21,272,91,181,0.335,0.683,0.636,hard,0.482
Apply Newton law to system scenario number 2539.,Physics,evaluate,79.09,45,2,24,128,14,114,0.114,0.894,0.692,hard,0.401
Compute circuit resistance for scenario number 2540.,Physics,apply,56.97,22,3,10,270,152,118,0.563,0.458,0.708,medium,0.631
Explain database normalization of scenario number 2541.,Computer Science,remember,53.32,46,2,5,268,216,52,0.806,0.201,0.913,easy,0.858
Implement binary search for scenario number 2542.,Computer Science,create,84.72,42,3,7,251,56,195,0.224,0.819,0.885,hard,0.546
Solve the quadratic equation scenario number 2543.,Mathematics,analyze,58.63,28,3,21,214,116,98,0.546,0.461,0.934,medium,0.739
Calculate efficiency of machine with scenario number 2544.,Engineering Aptitude,remember,44.26,33,3,13,286,205,81,0.718,0.297,0.713,easy,0.712
Solve the quadratic equation scenario number 2545.,Mathematics,evaluate,78.28,41,2,8,157,44,113,0.285,0.722,0.501,hard,0.391
Find derivative of function scenario number 2546.,Mathematics,create,88.35,38,1,24,182,28,154,0.154,0.865,0.619,hard,0.383
Find derivative of function scenario number 2547.,Mathematics,apply,67.56,44,3,13,119,78,41,0.663,0.379,0.648,medium,0.647
Determine projectile motion range for scenario number 2548.,Physics,create,75.7,36,3,4,195,28,167,0.147,0.868,0.765,hard,0.453
Analyze flowchart representing scenario number 2549.,Engineering Aptitude,create,72.43,39,2,22,215,177,38,0.826,0.186,0.931,easy,0.876
Determine projectile motion range for scenario number 2550.,Physics,apply,62.66,32,2,8,236,159,77,0.676,0.355,0.939,medium,0.801
Apply Newton law to system scenario number 2551.,Physics,understand,48.8,19,2,6,106,91,15,0.865,0.165,0.999,easy,0.926
Analyze flowchart representing scenario number 2552.,Engineering Aptitude,remember,51.8,33,1,5,113,85,28,0.756,0.265,0.903,easy,0.825
Compute circuit resistance for scenario number 2553.,Physics,apply,66.42,41,1,11,248,130,118,0.526,0.516,0.886,medium,0.698
Implement binary search for scenario number 2554.,Computer Science,remember,52.21,34,3,7,185,155,30,0.842,0.185,0.927,easy,0.879
Explain database normalization of scenario number 2555.,Computer Science,create,71.62,44,1,22,171,63,108,0.369,0.662,0.741,hard,0.549
Evaluate logical reasoning pattern in scenario number 2556.,Engineering Aptitude,create,89.81,31,2,20,191,73,118,0.385,0.633,0.502,hard,0.44
Calculate electric field for scenario number 2557.,Physics,evaluate,85.63,45,1,13,105,29,76,0.282,0.743,0.691,hard,0.482
Determine stress on beam under scenario number 2558.,Engineering Aptitude,understand,53.48,27,3,6,108,81,27,0.758,0.258,0.72,easy,0.736
Analyze flowchart representing scenario number 2559.,Engineering Aptitude,analyze,68.3,16,1,13,197,99,98,0.505,0.533,0.517,medium,0.503
Evaluate logical reasoning pattern in scenario number 2560.,Engineering Aptitude,remember,48.27,32,2,22,204,145,59,0.713,0.331,0.784,easy,0.74
Determine stress on beam under scenario number 2561.,Engineering Aptitude,remember,45.78,32,3,21,225,170,55,0.757,0.261,0.635,easy,0.692
Solve the quadratic equation scenario number 2562.,Mathematics,apply,64.03,23,1,6,105,54,51,0.52,0.489,0.726,medium,0.621
Describe inheritance in scenario number 2563.,Computer Science,understand,54.11,34,3,9,157,139,18,0.887,0.138,0.501,easy,0.689
Calculate efficiency of machine with scenario number 2564.,Engineering Aptitude,analyze,60.63,15,2,23,285,150,135,0.53,0.498,0.791,medium,0.655
Find derivative of function scenario number 2565.,Mathematics,evaluate,87.13,45,2,4,143,27,116,0.19,0.825,0.681,hard,0.433
Compute definite integral of scenario number 2566.,Mathematics,analyze,64.34,26,3,19,102,51,51,0.503,0.498,0.636,medium,0.569
Evaluate logical reasoning pattern in scenario number 2567.,Engineering Aptitude,create,87.24,30,3,14,115,40,75,0.352,0.679,0.868,hard,0.604
Explain database normalization of scenario number 2568.,Computer Science,remember,45.24,22,2,12,115,88,27,0.772,0.261,0.665,easy,0.712
Implement binary search for scenario number 2569.,Computer Science,create,83.14,18,2,21,174,24,150,0.141,0.877,0.732,hard,0.433
Analyze flowchart representing scenario number 2570.,Engineering Aptitude,create,78.48,28,3,20,288,45,243,0.158,0.88,0.776,hard,0.459
Compute circuit resistance for scenario number 2571.,Physics,create,78.27,30,2,14,194,72,122,0.374,0.646,0.734,hard,0.55
Describe inheritance in scenario number 2572.,Computer Science,understand,52.68,34,2,6,272,199,73,0.733,0.269,0.596,easy,0.664
Analyze time complexity of scenario number 2573.,Computer Science,remember,44.02,32,1,3,163,121,42,0.748,0.296,0.887,easy,0.809
Describe inheritance in scenario number 2574.,Computer Science,create,71.49,49,3,4,237,79,158,0.334,0.688,0.661,hard,0.493
Determine projectile motion range for scenario number 2575.,Physics,understand,53.22,16,2,23,291,210,81,0.724,0.289,0.946,easy,0.832
Compute definite integral of scenario number 2576.,Mathematics,evaluate,79.65,47,2,8,132,21,111,0.16,0.843,0.719,hard,0.439
Implement binary search for scenario number 2577.,Computer Science,remember,52.1,49,3,12,173,131,42,0.763,0.276,0.726,easy,0.737
Compute definite integral of scenario number 2578.,Mathematics,understand,41.75,42,2,14,159,118,41,0.746,0.303,0.542,easy,0.634
Describe inheritance in scenario number 2579.,Computer Science,evaluate,71.37,23,2,9,224,52,172,0.236,0.809,0.848,hard,0.533
Solve the quadratic equation scenario number 2580.,Mathematics,apply,69.26,48,3,3,163,69,94,0.424,0.595,0.825,medium,0.621
Explain database normalization of scenario number 2581.,Computer Science,remember,53.2,23,2,15,159,132,27,0.83,0.2,0.705,easy,0.762
Solve the quadratic equation scenario number 2582.,Mathematics,analyze,59.69,33,3,16,146,81,65,0.558,0.484,0.575,medium,0.558
Analyze time complexity of scenario number 2583.,Computer Science,analyze,64.99,22,2,6,149,65,84,0.438,0.577,0.677,medium,0.555
Implement binary search for scenario number 2584.,Computer Science,create,84.2,35,2,13,277,86,191,0.312,0.732,0.644,hard,0.469
Determine projectile motion range for scenario number 2585.,Physics,apply,62.93,30,2,13,158,64,94,0.41,0.635,0.959,medium,0.676
Implement binary search for scenario number 2586.,Computer Science,create,81.23,32,2,20,192,33,159,0.174,0.836,0.862,hard,0.516
Determine stress on beam under scenario number 2587.,Engineering Aptitude,remember,45.3,37,2,17,157,114,43,0.73,0.3,0.647,easy,0.682
Implement binary search for scenario number 2588.,Computer Science,apply,68.58,46,1,18,292,169,123,0.582,0.444,0.76,medium,0.666
Calculate efficiency of machine with scenario number 2589.,Engineering Aptitude,understand,50.26,16,2,24,140,33,107,0.238,0.811,0.57,hard,0.394
Analyze flowchart representing scenario number 2590.,Engineering Aptitude,remember,50.36,46,3,12,124,96,28,0.775,0.268,0.758,easy,0.758
Solve the quadratic equation scenario number 2591.,Mathematics,analyze,63.03,34,2,12,188,80,108,0.426,0.583,0.702,medium,0.562
Compute circuit resistance for scenario number 2592.,Physics,understand,47.42,18,2,19,120,107,13,0.893,0.142,0.696,easy,0.787
Calculate efficiency of machine with scenario number 2593.,Engineering Aptitude,apply,65.53,28,1,7,105,26,79,0.25,0.795,0.816,hard,0.524
Analyze flowchart representing scenario number 2594.,Engineering Aptitude,apply,60.97,27,1,20,255,169,86,0.665,0.365,0.847,medium,0.75
Analyze flowchart representing scenario number 2595.,Engineering Aptitude,analyze,60.84,18,3,5,108,33,75,0.314,0.691,0.722,hard,0.517
Analyze flowchart representing scenario number 2596.,Engineering Aptitude,understand,47.55,27,1,14,108,83,25,0.77,0.273,0.547,easy,0.65
Calculate electric field for scenario number 2597.,Physics,analyze,60.01,43,2,11,187,85,102,0.458,0.584,0.532,medium,0.487
Determine stress on beam under scenario number 2598.,Engineering Aptitude,create,75.97,43,1,22,261,82,179,0.316,0.724,0.569,hard,0.435
Find derivative of function scenario number 2599.,Mathematics,analyze,62.3,33,3,11,255,111,144,0.437,0.57,0.592,medium,0.513
Calculate efficiency of machine with scenario number 2600.,Engineering Aptitude,create,80.57,39,1,24,163,49,114,0.302,0.702,0.908,hard,0.604
Determine projectile motion range for scenario number 2601.,Physics,remember,49.7,25,3,6,228,176,52,0.773,0.233,0.702,easy,0.736
Calculate efficiency of machine with scenario number 2602.,Engineering Aptitude,remember,40.59,48,1,6,111,89,22,0.809,0.205,0.762,easy,0.783
Explain database normalization of scenario number 2603.,Computer Science,remember,47.64,15,2,6,299,253,46,0.847,0.19,0.994,easy,0.913
Apply Newton law to system scenario number 2604.,Physics,apply,64.4,18,1,8,272,132,140,0.486,0.522,0.675,medium,0.579
Explain database normalization of scenario number 2605.,Computer Science,apply,66.88,36,2,16,211,145,66,0.69,0.32,0.517,medium,0.601
Describe inheritance in scenario number 2606.,Computer Science,remember,46.41,27,2,9,296,263,33,0.891,0.125,0.655,easy,0.77
Calculate electric field for scenario number 2607.,Physics,evaluate,79.66,46,2,15,295,55,240,0.188,0.844,0.502,hard,0.338
Calculate efficiency of machine with scenario number 2608.,Engineering Aptitude,apply,64.06,36,2,13,141,77,64,0.551,0.497,0.753,medium,0.642
Implement binary search for scenario number 2609.,Computer Science,understand,47.08,34,2,11,255,180,75,0.707,0.306,0.607,easy,0.655
Calculate efficiency of machine with scenario number 2610.,Engineering Aptitude,remember,53.01,38,3,21,297,266,31,0.897,0.119,0.593,easy,0.742
Analyze time complexity of scenario number 2611.,Computer Science,remember,46.05,46,1,21,268,236,32,0.881,0.128,0.676,easy,0.777
Analyze flowchart representing scenario number 2612.,Engineering Aptitude,evaluate,76.62,23,2,22,155,33,122,0.214,0.792,0.995,hard,0.603
Describe inheritance in scenario number 2613.,Computer Science,apply,67.39,26,2,5,211,87,124,0.415,0.605,0.992,medium,0.7
Analyze flowchart representing scenario number 2614.,Engineering Aptitude,create,73.65,42,3,17,204,38,166,0.189,0.856,0.703,hard,0.437
Calculate electric field for scenario number 2615.,Physics,evaluate,74.16,49,2,24,266,89,177,0.335,0.696,0.658,hard,0.49
Analyze flowchart representing scenario number 2616.,Engineering Aptitude,create,84.42,32,3,24,258,72,186,0.281,0.745,0.945,hard,0.608
Determine stress on beam under scenario number 2617.,Engineering Aptitude,create,70.06,27,1,3,135,39,96,0.294,0.73,0.907,hard,0.596
Analyze time complexity of scenario number 2618.,Computer Science,evaluate,79.02,44,2,22,107,15,92,0.142,0.893,0.74,hard,0.434
Analyze flowchart representing scenario number 2619.,Engineering Aptitude,understand,44.53,24,3,6,228,170,58,0.75,0.291,0.733,easy,0.733
Evaluate logical reasoning pattern in scenario number 2620.,Engineering Aptitude,evaluate,88.37,23,3,19,205,53,152,0.261,0.789,0.851,hard,0.546
Evaluate matrix determinant for scenario number 2621.,Mathematics,create,74.17,44,1,23,133,36,97,0.275,0.727,0.939,hard,0.607
Analyze time complexity of scenario number 2622.,Computer Science,understand,44.45,26,1,4,243,207,36,0.852,0.195,0.833,easy,0.833
Compute definite integral of scenario number 2623.,Mathematics,evaluate,78.23,45,3,10,132,49,83,0.378,0.638,0.88,hard,0.626
Solve the quadratic equation scenario number 2624.,Mathematics,understand,54.27,48,2,6,256,203,53,0.795,0.249,0.62,easy,0.699
Find derivative of function scenario number 2625.,Mathematics,analyze,66.83,42,2,6,197,132,65,0.674,0.363,0.682,medium,0.671
Solve the quadratic equation scenario number 2626.,Mathematics,create,75.99,26,1,18,113,37,76,0.328,0.697,0.941,hard,0.63
Apply Newton law to system scenario number 2627.,Physics,apply,55.6,23,3,21,145,66,79,0.457,0.544,0.535,medium,0.496
Calculate electric field for scenario number 2628.,Physics,create,73.44,15,2,17,143,43,100,0.308,0.733,0.944,hard,0.618
Calculate efficiency of machine with scenario number 2629.,Engineering Aptitude,evaluate,80.98,39,3,18,204,77,127,0.381,0.659,0.826,hard,0.595
Describe inheritance in scenario number 2630.,Computer Science,evaluate,78.67,33,3,7,282,37,245,0.131,0.87,0.875,hard,0.503
Evaluate matrix determinant for scenario number 2631.,Mathematics,remember,48.02,25,2,7,105,75,30,0.721,0.302,0.824,easy,0.768
Describe inheritance in scenario number 2632.,Computer Science,understand,40.18,21,1,17,219,194,25,0.889,0.157,0.832,easy,0.851
